NAME,TITLE,STUDYTYPE,STUDYSOP,STUDYSUBTYPE,PASS,PMS,HARMONIZEDCATEGORY,INDICATION,HARMONIZEDPRIMARYDRUG,DRUGPRIORITY,STATUS,STATUSDETAIL,COUNTRIESOFSTUDY,UNITEDSTATES,INTERNATIONALPRIORITY,ANCHORMARKET,EXECUTIONGROUP,SPONSORINGDIVISION
53234483,WI244770 Portación Nasofaríngea de Streptococcus pneumoniae en Niños Menores de 5 Años del Suroccidente de Colombia.,Investigator Sponsored Research,GNT01,Investigator Sponsored Research,No,No,Vaccines,Pneumococcal,Pneumococcal 20-valent Conjugate Vaccine,Priority Asset,Closed,No additional details,"Colombia,",No,No,No,,CMAO
53233349,WI222702 2016 ASPIRE Sickle Cell Disease _ Home-based Assessment of Patient Reported Outcome Measures Using A Smartphone App Platform_ A Feasibility Study,Investigator Sponsored Research,GNT01,Investigator Sponsored Research,No,No,Rare Disease,Sickle Cell Disease,Rivipansel,,Closed,No additional details,"United States,",Yes,No,No,,CMAO
56569607,Treatment of acromegaly in Denmark; A nationwide audit,General Research,GNT01,General Research,No,No,Rare Disease,Acromegaly,,No Drug,Closed,No additional details,"Denmark,",No,No,No,,CMAO
B0661073,POST-AUTHORISATION SAFETY STUDY (PASS) OF THE UTILISATION PATTERNS OF APIXABAN IN DENMARK,NON INTERVENTIONAL,CT24,,Yes - Voluntary,No,Internal Medicine,Atrial fibrillation| Cerebrovascular accident| Deep vein thrombosis| Embolism| Pulmonary embolism,Apixaban,Priority Asset,Completed,No additional details,"Denmark,",No,No,No,,GIPM
76440599,A Phase 1/2 Study of Elranatamab in Combination with Isatuximab in High Risk Smoldering Multiple Myeloma and Relapsed Refractory Multiple Myeloma,Investigator Sponsored Research,GNT01,Investigator Sponsored Research,No,No,Oncology,Hematologic,Elranatamab,Launch Priority,Rejected,No additional details,"United States,",Yes,No,No,,POD
A3921430,,NON INTERVENTIONAL,CT24,,Yes - Voluntary,No,Inflammation and Immunology,,Tofacitinib,Priority Asset,Not Pursued,No additional details,,No,No,No,,PBG
93253849,Efficacy of Maraviroc for the Treatment of T1-High Asthma,Investigator Sponsored Research,GNT01,Investigator Sponsored Research,No,No,Other / Unknown,General/Non-specific/Other,,No Drug,Rejected,No additional details,"United States,",Yes,No,No,,CMAO
B0661082,EVALUATION OF ANTICOAGULATION OUTCOMES AMONG ELDERLY NVAF PATIENTS TREATED BY ORAL ANTICOAGULANTS (OACS) IN THE HUMANA DATABASE,NON INTERVENTIONAL,CT24,,Yes - Voluntary,No,Internal Medicine,Atrial fibrillation,Apixaban,Priority Asset,Completed,No additional details,"United States,",Yes,No,No,,BU DEVELOPMENT
A5481145,Treatment Patterns and Clinical Outcomes Among Indian Patients Receiving Palbociclib Combinations for HR+/HER2- Advanced/Metastatic Breast Cancer in Real World Settings,NON INTERVENTIONAL,CT24,,No,No,Oncology,Breast cancer metastatic,Palbociclib,Priority Asset,Completed,No additional details,"India,",No,No,Yes,Medical Affairs,PBG
59212687,Characterizing the impact of Tofacitinib on RA immunometabolism,Investigator Sponsored Research,GNT01,Investigator Sponsored Research,No,No,Inflammation and Immunology,Rheumatoid Arthritis,Tofacitinib,Priority Asset,Rejected,No additional details,"United States,",Yes,No,No,,CMAO
67613111,UCIMED Junior Research Program. ,General Research,GNT01,General Research,No,No,,Dyslipidemia,,No Drug,Rejected,No additional details,"Costa Rica,",No,No,No,,CMAO
59444117,Oncology Value-Based Care Pilot for Immunotherapies ,General Research,GNT01,General Research,No,No,Oncology,Immuno-Oncology,,No Drug,Closed,No additional details,"United States,",Yes,No,No,,POD
75476009,COVID-19 burden of disease in the pediatric population in Mexico: retrospective database study,Research Collaboration,RC01,,No,No,COVID,COVID-19 - (Vaccine),BNT162b2,Priority Asset,Terminated,"Approved,Terminated","Mexico,",No,No,Yes,RWE,CMAO
53233859,WI234549 Varenicline OTC Trial on Efficacy and Safety,Investigator Sponsored Research,GNT01,Investigator Sponsored Research,No,No,Internal Medicine,General/Non-Specific/Other,Varenicline,,Closed,No additional details,"United States,",Yes,No,No,,CMAO
B0661020,HEALTH CARE RESOURCES CONSUMPTION AND COST ASSOCIATED WITH THE DIAGNOSIS AND TREATMENT OF EACH ESPISODE OF VENOUS THROMBOEMBOLIC DISEASE AND BLEEDING IN PATIENTS UNDERGOING HIP OR KNEE ORTHOPEDIC SURGERY,NON INTERVENTIONAL,CT24,,,,Internal Medicine,,Apixaban,Priority Asset,Completed,No additional details,"Spain,",No,No,Yes,,BU MEDICAL
89203285,Evaluation of gait kinetics and lower limb muscle MRI as a practical early outcome measure of muscle function in Duchenne Muscular Dystrophy: a possible new approach to evaluate the efficacy of gene replacement therapy,Investigator Sponsored Research,GNT01,Investigator Sponsored Research,No,No,Rare Disease,Duchenne Muscular Dystrophy,Other / Unknown,,Rejected,No additional details,"Belgium,",No,No,No,,CMAO
62050265,COVID-19 Recovery: Is There Specific Protective immunity,General Research,GNT01,General Research,No,No,Vaccines,Influenza,,No Drug,Rejected,No additional details,"Egypt,",No,No,No,,CMAO
70035897,"Deciphering the impact of high gamma-secretase expression in Multiple Myeloma on stromal cells and on anti-BCMA CAR T cell activation, exhaustion and effector functions",Investigator Sponsored Research,GNT01,Investigator Sponsored Research,No,No,Oncology,Immuno-Oncology,Elranatamab,Launch Priority,Rejected,No additional details,"Germany,",No,Yes,No,,POD
53233149,WI217162 A pilot study to investigate the efficacy and safety of dexmedetomidine and fentanyl versus midazolam and remifentanil for sedation in patients undergoing ablation procedures for treatment of a tachyarrhythmia.,Investigator Sponsored Research,GNT01,Investigator Sponsored Research,No,No,Hospital,General/Non-Specific/Other,Dexmedetomidine,,Terminated,"Approved,Terminated","Canada,",No,No,Yes,,CMAO
64890405,DIagnostic pathways to transthyretin AMyloid cardiomyOpathy: a multicentre Network stuDy (DIAMOND),General Research,GNT01,General Research,No,No,Rare Disease,ATTR-CM (Transthyretin Amyloid Cardiomyopathy),,No Drug,Closed,No additional details,"Italy,",No,No,Yes,,CMAO
B0661150,"VICTORIE (VTE In Cancer – Treatment, Outcomes and Resource use In Europe)",NON INTERVENTIONAL,CT24,,No,No,Internal Medicine,Embolism venous,Apixaban,Priority Asset,Ongoing,No additional details,,No,No,No,"GAV, Medical Affairs",PBG
68785793,Description of Pneumococcal Community-Acquired Pneumonia in General Practice in France(WI219798),Research Collaboration,RC01,,No,No,Vaccines,Pneumococcal,Pneumococcal 20-valent Conjugate Vaccine,Priority Asset,Closed,No additional details,"France,",No,Yes,No,,CMAO
C3671045,Burden of respiratory syncytial virus infections among infants and young children in South Korea,NON INTERVENTIONAL,CT24,,No,No,,Respiratory syncytial virus infection,,No Drug,Ongoing,No additional details,"Korea, Republic Of,Korea, Republic Of,",No,No,Yes,,PBG
62073455,Immunohistochemistry (IHC) Versus Next Generation Sequencing (NGS) in Young Breast Cancer BRCA Mutant Patients: A Real World Evidence,General Research,GNT01,General Research,No,No,Oncology,Breast,,No Drug,Rejected,No additional details,"Egypt,",No,No,No,,POD
63654117,Study of TOfacitinib for the treatment of chronic PouchiTis (STOPit),Investigator Sponsored Research,GNT01,Investigator Sponsored Research,No,No,Inflammation and Immunology,Ulcerative Colitis,Tofacitinib,Priority Asset,Ongoing,Contract Exeecuted,"Australia,",No,No,Yes,,CMAO
53232597,WI205417 Prospective Urban and Rural Epidemiological Study (PURE),Investigator Sponsored Research,GNT01,Investigator Sponsored Research,No,No,Internal Medicine,Cholesterol/Hypercholesterolemia,,No Drug,Closed,No additional details,"Russian Federation,",No,No,Yes,,BU
91999485,AdvanceAD: Atopic Dermatitis registry for Advanced Treatments,General Research,GNT01,General Research,No,No,Inflammation and Immunology,Atopic Dermatitis,,No Drug,Rejected,No additional details,"Turkey,",No,No,Yes,,CMAO
63197367,Effect of Taliglucerase Alpha on Disease Parameters in Non-Neuropathic ERT Naive Gaucher Patients: Multicentric Observational 1-year Prospective Study,Investigator Sponsored Research,GNT01,Investigator Sponsored Research,No,No,Hospital,Lysosomal Storage Diseases,Taliglucerase alfa,,Terminated,"Approved,Terminated","Turkey,",No,No,Yes,,CMAO
92157785,registry of immune-mediated skin diseases,General Research,GNT01,General Research,No,No,Inflammation and Immunology,Atopic Dermatitis,,No Drug,Rejected,No additional details,"Portugal,",No,No,No,,CMAO
FCAPRC95005,"AN OPEN, COMPARATIVE STUDY OF THE EFFICACY AND SAFETY OF ORAL FLUCONAZOLE CAPSULES IMPORTED VS GENERIC PRODUCT IN THE TREATMENT OF PATIENTS WITH TINEA CORPORIS AND TINEA CRURIS",NON INTERVENTIONAL,CT24,,,,,Body tinea| Tinea cruris,,No Drug,Completed,No additional details,"China,",No,Yes,No,,PGP
88696227,"Incidence of Respiratory Syncytial Virus in two sentinel health centers in  San Juan de Lurigancho, Lima, Peru",General Research,GNT01,General Research,No,No,Vaccines,RSV - Older Adults,,No Drug,Rejected,No additional details,"Peru,",No,No,No,,CMAO
53232237,WI186772 CT-diagnostic-driven treatment strategy for invasive aspergillosis in hematology patients,Investigator Sponsored Research,GNT01,Investigator Sponsored Research,No,No,Hospital,Fungal,Voriconazole,,Ongoing,Contract Exeecuted,"China,",No,Yes,No,,CMAO
73476233,Pilot Study in Patients with Metastatic Breast Cancer on the State of Precision Oncology and the Value of Second Opinions (EPIMETEO),General Research,GNT01,General Research,No,No,Oncology,Breast,,No Drug,Rejected,No additional details,"Spain,",No,No,Yes,,POD
87847395,AST Commercial Product,Investigator Sponsored Research,GNT01,Investigator Sponsored Research,No,No,Vaccines,Bacterial,Other / Unknown,,Closed,No additional details,"United Kingdom,",No,No,Yes,,CMAO
67570675,Evaluation of heart disease associated with systemic transthyretin amyloidosis in patients with bilateral carpal tunnel syndrome,Investigator Sponsored Research,GNT01,Investigator Sponsored Research,No,No,Rare Disease,TTR Amyloidosis,Tafamidis,Priority Asset,Rejected,No additional details,"Brazil,",No,No,Yes,,CMAO
B2481007,,NON INTERVENTIONAL,CT24,,,,,,,No Drug,Canceled,No additional details,"China,",No,Yes,No,,BU MEDICAL
87818711,prevalence of Transthyretine amyloid cardiomyopathy in a population of patients treated by percutaneous left atrial appendage closure,General Research,GNT01,General Research,No,No,Rare Disease,TTR Amyloidosis,,No Drug,Rejected,No additional details,"France,",No,Yes,No,,CMAO
M27450001,U-101387G [PNU-101387G]:  SINGLE ORAL DOSE TOLERANCE AND PHARMACOKINETICS IN HEALTHY ADULT MEN AND WOMEN,NON INTERVENTIONAL,CT24,,,,,Investigation,,No Drug,Completed,No additional details,"United States,",Yes,No,No,,PGRD
53234337,WI242318 2018 ASPIRE Awards Program In Anti-Infectives _ A pilot study on the use of Ceftaroline fosamil for treatment of acute bacterial meningitis in Brazil,Investigator Sponsored Research,GNT01,Investigator Sponsored Research,No,No,Hospital,Bacterial,ceftaroline fosamilcroline fosamil,,Terminated,"Approved,Terminated","Brazil,",No,No,Yes,,CMAO
60517005,Neoadjuvant Palbociclib and Aromatase inhibitors as neo-adjuvant endocrine therapy in patients with locally advanced breast cancer who are hormone receptor positive and Her2 negative.” ,Investigator Sponsored Research,GNT01,Investigator Sponsored Research,No,No,Oncology,Breast,Palbociclib,Priority Asset,Rejected,No additional details,"India,",No,No,Yes,,POD
B4671003,DETERMINING COSTS OF PNEUMOCOCCAL DISEASE IN THE MEXICAN SOCIAL SECURITY INSTITUTE,NON INTERVENTIONAL,CT24,,,,Vaccines,,Pneumococcal 13-valent conjugate vaccine,Priority Asset,Canceled,No additional details,"Mexico,",No,No,Yes,,BU MEDICAL
87080,PROTOCOL FOR THE STUDY OF GROWTH HORMONE IN GENETICALLY SHORT CHILDREN,NON INTERVENTIONAL,CT24,,,,,Short stature,,No Drug,Completed,No additional details,"United Kingdom,",No,No,Yes,,PHARMACIA
93670859,Avibactam request,Investigator Sponsored Research,GNT01,Investigator Sponsored Research,No,No,Vaccines,Bacterial,Other / Unknown,,Closed,No additional details,"United States,",Yes,No,No,,CMAO
68749933,"Establishing the burden of vaccine preventable acute lower respiratory tract infections in primary care, UK (WI255886-2)",Research Collaboration,RC01,,No,No,COVID,Pneumococcal,BNT162b2,Priority Asset,Ongoing,No additional details,"United Kingdom,",No,No,Yes,RWE,CMAO
92956615,Real-world analysis of the impact of timely biomarker testing on treatment choice in metastatic colorectal cancer patients in British Columbia,General Research,GNT01,General Research,No,No,Oncology,Gastrointestinal,,No Drug,Approved,No additional details,"Canada,",No,No,Yes,,POD
B0661048,PFI-NON-2014-01.STUDY FOR THE CHARACTERIZATION OF PATIENTS WITH NON-VALVULAR ATRIAL FIBRILLATION DIAGNOSED AND NOT TREATED WITH ORAL ANTICOAGULANTS,NON INTERVENTIONAL,CT24,,,,Internal Medicine,Atrial fibrillation,Apixaban,Priority Asset,Completed,No additional details,"Spain,Spain",No,No,Yes,,BU MEDICAL
57026607,University project for healthy students (PUERTAS),General Research,GNT01,General Research,No,No,Internal Medicine,Bipolar Disorder,,No Drug,Rejected,No additional details,"Mexico,",No,No,Yes,,BU
53233491,WI226391 Dopamine D2_D3 Receptor Upregulation by Varenicline in Methamphetamine Users,Investigator Sponsored Research,GNT01,Investigator Sponsored Research,No,No,Internal Medicine,Pain,Varenicline,,Closed,No additional details,"United States,",Yes,No,No,,CMAO
B5371021,,NON INTERVENTIONAL,CT24,,No,No,Oncology,,Infliximab,,Canceled,No additional details,"India,",No,No,Yes,,PBG
53232655,WI206879 IDENTIFICATION OF F8  AND F9 PATHOGENIC VARIANTS  AND ANALYSIS OF BLEEDING TENDENCY _ MILD HEMOPHILIA IN ITALY,Investigator Sponsored Research,GNT01,Investigator Sponsored Research,No,No,Rare Disease,Hemophilia,,No Drug,Closed,No additional details,"Italy,",No,No,Yes,,CMAO
70697523,"Multicenter, Cross-Sectional, National Study on the Relevance of HEAD-US Joint Scores in Joint Health Assessment of Pediatric and Adult Hemophilia A Patients on Prophylaxis",General Research,GNT01,General Research,No,No,Rare Disease,Hemophilia,,No Drug,Closed,No additional details,"Turkey,",No,No,Yes,,CMAO
66550819,A Phase II Clinical tRial of neoADjuVant sAsanlimab and stereotaCtiC body radIatioN thErapy as an in situ vaccine for cisplatin ineligible Muscle Invasive Bladder Cancer (RAD VACCINE MIBC),Investigator Sponsored Research,GNT01,Investigator Sponsored Research,No,No,Oncology,Genitourinary,Sasanlimab,Launch Priority,Ongoing,Contract Exeecuted,"United States,",Yes,No,No,,POD
78231159,A druggable genome approach to LOF variants in a highly consanguineous population,General Research,GNT01,General Research,No,No,Internal Medicine,ASCVD (Atherosclerotic Cardiovascular Disease),,No Drug,Rejected,No additional details,"Saudi Arabia,",No,No,Yes,,CMAO
A2501029,"OPEN-LABEL, NON-COMPERATIVE DRUG MONITORING PROGRAM WITH DONEPEZIL IN PATIENTS WITH VASCULAR DEMENTIA",NON INTERVENTIONAL,CT24,,,,,Dementia Alzheimer's type,,No Drug,Completed,No additional details,"Austria,",No,No,No,,PGP
51976023,"Phase II Study of Avelumab, Axitinib and PT2977 in Patients with Advanced Renal Cell Carcinoma",Investigator Sponsored Research,GNT01,Investigator Sponsored Research,No,No,Oncology,Genitourinary,Axitinib,,Canceled,No additional details,"United States,",Yes,No,No,,POD
76219141,Visualization of Global Meningitis Genome Library data,General Research,GNT01,General Research,No,No,Vaccines,Meningococcal,,No Drug,Ongoing,Contract Exeecuted,"United Kingdom,",No,No,Yes,,CMAO
60273015,WI236308 Evaluation of anti-tumor effects of PD-0332991 alone and in combination with cytotoxic chemotherapeutic agents in PDX models of gastric and breast cancer.,Investigator Sponsored Research,GNT01,Investigator Sponsored Research,No,No,Oncology,Breast,Other / Unknown,,Closed,No additional details,"Korea, Republic Of,",No,No,Yes,,POD
61642161,"Cancer patients with COVID-19: a population-based, nationwide analysis from Belgium (COV-CANCER-BSMO)",General Research,GNT01,General Research,No,No,Oncology,General/Non-specific/Other,,No Drug,Closed,No additional details,"Belgium,",No,No,No,,POD
60247859,"WI205306 WIPO - To test compounds disclosed in J. Montgomery, et al., J. Antibiotics, 2014, 1-7 against Mycobacterium tuberculosis (in vitro) and to prepare analogues using one compound disclosed in the same paper",Investigator Sponsored Research,GNT01,Investigator Sponsored Research,No,No,Other / Unknown,Compound Transfer Migration,Other / Unknown,,Ongoing,Contract Exeecuted,"United States,",Yes,No,No,,CMAO
53234223,"WI240862 EFFICACY OF THE TRIPLE COMBINATION OF ER, CDK4-6, AND PHOSPHATIDYLINOSITOL 3-KINASE PATHWAY INHIBITORS IN EX-VIVO MODELS OF BREAST CANCER",Investigator Sponsored Research,GNT01,Investigator Sponsored Research,No,No,Oncology,Breast,Palbociclib,Priority Asset,Closed,No additional details,"Italy,",No,No,Yes,,POD
53577681,Concentrated Albumin Prior to Rescue Infliximab (CAPRI) in Acute Severe Colitis,Investigator Sponsored Research,GNT01,Investigator Sponsored Research,No,No,Oncology,IBD (Inflammatory Bowel Disease),Infliximab,,Rejected,No additional details,"Australia,",No,No,Yes,,CMAO
74981905,Regulation of BCMA and gamma-secretase in multiple myeloma and effects on anti-BCMA efficacy ,General Research,GNT01,General Research,No,No,Oncology,Hematologic,,No Drug,Rejected,No additional details,"Italy,",No,No,Yes,,POD
53232945,"WI211924 A NON-RANDOMIZED PHASE IB-II PROTOCOL OF Paclitaxel, Carboplatin and the Dual PI3K mTOR Kinase Inhibitor, PF-05212384 (gedatolisib), for Patients with Advanced or Metastatic Non-Small Cell Carcinoma of the Lung",Investigator Sponsored Research,GNT01,Investigator Sponsored Research,No,No,Oncology,Breast,Gedatolisib,,Closed,No additional details,"United States,",Yes,No,No,,POD
91080326V2,EFFECTS OF GENOTONORM IN GROWTH HORMONE DEFICIENT ADULTS,NON INTERVENTIONAL,CT24,,,,,Hormone replacement therapy,,No Drug,Completed,No additional details,"France,France",No,Yes,No,,PHARMACIA
54013145,"Prospective, Randomized, Partially Blinded, Phase 3 Study of the Efficacy and Tolerability of Bedaquiline, Delamanid, Levofloxacin, Linezolid, and Clofazimine for Treatment of Patients with MDR-TB (DRAMATIC Study)",Investigator Sponsored Research,GNT01,Investigator Sponsored Research,No,No,Hospital,Bacterial,Linezolid,,Canceled,No additional details,,No,No,No,,
93251869,Atorvastatin adjunctive therapy in children with severe malaria,Investigator Sponsored Research,GNT01,Investigator Sponsored Research,No,No,Other / Unknown,Support for Health Outcomes,Other / Unknown,,Canceled,No additional details,"Mozambique,",No,No,No,,
67844339,WEFITTER-PC – Wearable Enhanced Fitness Tracking for Prostate Cancer,General Research,GNT01,General Research,No,No,Oncology,Genitourinary,,No Drug,Rejected,No additional details,"Brazil,",No,No,Yes,,POD
57196263,PISCO study : Pathophysiology of Induced Synovitis with Checkpoint inhibitors in Oncology.,Investigator Sponsored Research,GNT01,Investigator Sponsored Research,No,No,Oncology,Rheumatoid Arthritis,Avelumab,,Rejected,No additional details,"Belgium,",No,No,No,,CMAO
68071627,Clinical and Molecular Epidemiology of Infections Caused by Carbapenem-Resistant Pseudomonas aeruginosa and Enterobacterales and Susceptibility of Isolates to Ceftazidime-Avibactam,Investigator Sponsored Research,GNT01,Investigator Sponsored Research,No,No,Hospital,Bacterial,Ceftazidime-avibactam,,Rejected,No additional details,"Lebanon,",No,No,No,,CMAO
92241875,Apixaban for Stroke Prevention in Subclinical Atrial Fibrillation,Investigator Sponsored Research,GNT01,Investigator Sponsored Research,No,No,Internal Medicine,"Anti-coagulation (AFIB, VTE)",Apixaban,Priority Asset,Approved,Contract Sent for Signature,"United States,",Yes,No,No,,CMAO
52511397,Ceftazidime/avibactam for the treatment of bacteremia due to carbapenemase-producing Enterobacteriaceae in onco-hematologic neutropenic cancer patients,Investigator Sponsored Research,GNT01,Investigator Sponsored Research,No,No,Hospital,Bacterial,Ceftazidime-avibactam,,Closed,No additional details,"Spain,",No,No,Yes,,CMAO
89042227,The impact of social drivers on endometriosis and uterine fibroid diagnoses and treatment decisions among women in a large midwestern health care system. ,General Research,GNT01,General Research,No,No,Other / Unknown,Research,,No Drug,Rejected,No additional details,"United States,",Yes,No,No,,CMAO
67112773,PASSing to the patients’ side: predicting response to tofacitinib through the Patients Acceptable Symptom State,Investigator Sponsored Research,GNT01,Investigator Sponsored Research,No,No,Inflammation and Immunology,Rheumatoid Arthritis,Tofacitinib,Priority Asset,Rejected,No additional details,"Italy,",No,No,Yes,,CMAO
77156671,A Translational Understanding of Obesity-Related Phenotypes Using Brain Imaging and Manipulation,General Research,GNT01,General Research,No,No,Internal Medicine,Overweight or Physical Activity,,No Drug,Ongoing,Contract Exeecuted,"United States,",Yes,No,No,,CMAO
66224047,Targeting JAK/STAT pathway in Lupus and Dermatomyositis photosensitivity,Investigator Sponsored Research,GNT01,Investigator Sponsored Research,No,No,Inflammation and Immunology,Lupus,Tofacitinib,Priority Asset,Rejected,No additional details,"United States,",Yes,No,No,,CMAO
74067317,WHF Study on Long COVID and Cardiovascular Disease ,General Research,GNT01,General Research,No,No,Internal Medicine,General/Non-Specific/Other,,No Drug,Rejected,No additional details,"India,",No,No,Yes,,CMAO
74308149,Evaluation of Culture and Non-Culture Methods and their Economic Aspect for Early Diagnosis of Invasive Candidiasis in Diagnostic Laboratories in Malaysia,General Research,GNT01,General Research,No,No,Vaccines,Fungal,,No Drug,Ongoing,Contract Exeecuted,"Malaysia,",No,No,No,,CMAO
53235049,WS853900 The Effect of Oral Guaifenesin on Pediatric Chronic Rhinitis_ A Pilot Study,Investigator Sponsored Research,GNT01,Investigator Sponsored Research,No,No,,Dietary Supplements,,No Drug,Closed,No additional details,"United States,",Yes,No,No,,BU
72113455,Decreasing Alopecia Areata Psychosocial Disease Burden: Integrating Behavioral Health Treatment into Dermatology Clinics,General Research,GNT01,General Research,No,No,Inflammation and Immunology,Alopecia Areata,,No Drug,Rejected,No additional details,"United States,",Yes,No,No,,CMAO
B5091015,"ASSESSING THE INCIDENCE, RISK FACTORS, AND HEALTH ECONOMIC AND CLINICAL OUTCOMES OF CLOSTRIDIUM DIFFICILE INFECTION AMONG MEDICARE ADVANTAGE ENROLLEES.",NON INTERVENTIONAL,CT24,,No,No,Vaccines,Clostridium difficile infection,C. Difficile Vaccine,Tier 2 Research Priority,Completed,No additional details,"United States,",Yes,No,No,,VACCINE RESEARCH
0376000394,SINGLE-DOSE BIOEQUIVALENCE STUDY IN HEALTHY POSTMENOPAUSAL WOMEN COMPARING MARKET-IMAGE AND CLINICAL TRIAL  FORMULATIONNA/EE 1/5 (1.0 MG NORETHINDRONE ACETATE/.0 MICRO GRAM ETHINYL ESTRADIOL) TABLETS,NON INTERVENTIONAL,CT24,,,,,Investigation,,No Drug,Completed,No additional details,"United States,",Yes,No,No,,WARNER LAMBERT
73544071,GERIATRIC ASSESSMENT-BASED FRONTLINE CHEMOTHERAPY IN COMBINATION WITH INOTUZUMAB OZOGAMICIN IN ELDERLY Ph CHROMOSOME-NEGATIVE CD22+ ACUTE LYMPHOBLASTIC LEUKEMIA (GANZINO),Investigator Sponsored Research,GNT01,Investigator Sponsored Research,No,No,Oncology,Hematologic,Inotuzumab ozogamicin,,Rejected,No additional details,"Italy,",No,No,Yes,,POD
A5951161,FREQUENCY AND CONSEQUENCES OF ORAL LINEZOLID REJECTIONS/REVERSALS FOR PATIENTS WITH COMPLICATED SKIN AND SOFT TISSUE INFECTIONS (CSSTIS),NON INTERVENTIONAL,CT24,,No,No,,Skin infection,,No Drug,Completed,No additional details,"United States,",Yes,No,No,,BU MEDICAL
62972073,Effects of abrocitinib treatment on skin barrier function,Investigator Sponsored Research,GNT01,Investigator Sponsored Research,No,No,Inflammation and Immunology,Atopic Dermatitis,,No Drug,Ongoing,Contract Exeecuted,"Germany,",No,Yes,No,,CMAO
0881A6102200,AUSTRIAN SYSTEMIC DRUG REGISTER FOR PSORIASIS TREATMENT.,NON INTERVENTIONAL,CT24,,Yes,,Inflammation and Immunology,Psoriasis,Etanercept,,Terminated,Terminated,"Austria,Austria",No,No,No,,WYETH
53234923,WS320167 9028-A Clinicopathological Phase II Study of Axitinib in Patients with Advanced Angiosarcoma and Other Soft Ti,Investigator Sponsored Research,GNT01,Investigator Sponsored Research,No,No,Oncology,Genitourinary,Axitinib,,Closed,No additional details,"United Kingdom,",No,No,Yes,,POD
60289841,WI246365 Investigation of tofacitinib effect on Cutaneous T Cell Lymphoma cells,Investigator Sponsored Research,GNT01,Investigator Sponsored Research,No,No,Other / Unknown,Compound Transfer Migration,Other / Unknown,,Closed,No additional details,"Greece,",No,No,No,,CMAO
53233269,WI219429 FULL Anti-PAD3PAD4 antibodies as predictors of treatment response to Tofacitinib in patients with RA,Investigator Sponsored Research,GNT01,Investigator Sponsored Research,No,No,Inflammation and Immunology,Rheumatoid Arthritis,Tofacitinib,Priority Asset,Closed,No additional details,"United States,",Yes,No,No,,CMAO
63176561,Epidemiological study of respiratory infections due to the new Coronavirus (SARS-CoV-2) in the pediatric population,General Research,GNT01,General Research,No,No,Vaccines,Respiratory Syncytial Virus (RSV) (response to RFP only),,No Drug,Closed,No additional details,"Spain,",No,No,Yes,,CMAO
74271571,Studying the role of complement in AAV vector and transgene product immunotoxicities,General Research,GNT01,General Research,No,No,Rare Disease,Hemophilia,,No Drug,Rejected,No additional details,"United States,",Yes,No,No,,CMAO
68682101,Optimization of coronavirus main protease inhibitors,Investigator Sponsored Research,GNT01,Investigator Sponsored Research,No,No,Vaccines,Respiratory Syncytial Virus (RSV) (response to RFP only),Other / Unknown,,Rejected,No additional details,"Spain,",No,No,Yes,,CMAO
74963947,Study on clinical markers for early diagnosis of transthyretin amyloidosis polyneuropathy,General Research,GNT01,General Research,No,No,Rare Disease,TTR Amyloidosis,,No Drug,Canceled,Contract Sent to Org for Review,"China,",No,Yes,No,,CMAO
94647241,"Surveillance of Invasive Pneumococcal Diseases (IPD) in Massachusetts Children, 2022-2026",Research Collaboration,RC01,,No,No,Vaccines,Pneumococcal,Pneumococcal 20-valent Conjugate Vaccine,Priority Asset,Pending,No additional details,"United States,",Yes,No,No,,CMAO
378ONC00300144,"APPLICATION OF EPIRUBICIN WITHIN A NEO-/ADJUVANT CHEMOTHERAPY IN PATIENTS WITH PRIMARY BREAST CANCER (ANWENDUNGSBEOBACHTUNG, MOI 99056)",NON INTERVENTIONAL,CT24,,,,Oncology,Breast neoplasm,,No Drug,Completed,No additional details,"Germany,",No,Yes,No,,BU MEDICAL
53232069,WI174086 The power and the flow_ raising the bars in the treatment of pulmonary arterial hypertension,General Research,GNT01,General Research,No,No,Internal Medicine,Blood Pressure/Hypertension,,No Drug,Closed,No additional details,"Netherlands,",No,No,No,,BU
C1091006,EPIDEMIOLOGY OF OBSTETRIC AND NEONATAL OUTCOMES IN SOUTH AFRICA,NON INTERVENTIONAL,CT24,,No,No,Vaccines,Ill-defined disorder,Group B Strep Vaccine,Tier 2 Research Priority,Completed,No additional details,"South Africa,South Africa",No,No,No,,VACCINE RESEARCH
950ECNS0005087,OPEN-LABEL REBOXETINE CONTINUATION THERAPY,NON INTERVENTIONAL,CT24,,,,,Depression,,No Drug,Completed,No additional details,"Canada, United States,Canada, United States",Yes,No,Yes,,PHARMACIA
68722205,RAIN: Radiation in ALK positive NSCLC treated with Lorlatinib,Investigator Sponsored Research,GNT01,Investigator Sponsored Research,No,No,Oncology,Lung,Lorlatinib,Priority Asset,Rejected,No additional details,"Germany,",No,Yes,No,,POD
A3921251,INCIDENCE RATES OF SAFETY ENDPOINTS AMONG JAPANESE PATIENTS WITH RHEUMATOID ARTHRITIS OR PSORIASIS WITHIN THE JAPANESE MEDICAL DISEASE CENTER (JMDC),NON INTERVENTIONAL,CT24,,No,No,Inflammation and Immunology,Psoriasis| Rheumatoid arthritis,Tofacitinib,Priority Asset,Canceled,No additional details,"Japan,",No,Yes,No,,GIPM
